#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_State, WFD_State
62.581753, 69, 19.155, 19235340, 0, 14536.999, 2, 0
62.832030, 1448, 0.188, 20003220, 51782, 14536.999, 2, 0
63.82293, 1448, 0.223, 20819160, 0, 14536.999, 2, 0
63.332559, 724, 0.228, 21663180, 58257, 15323.848, 2, 3
63.582827, 109, 3.809, 22543920, 51784, 15323.848, 2, 3
63.833082, 242, 12.315, 22713480, 0, 15323.848, 2, 3
64.83341, 243, 23.245, 22701060, 56101, 16117.923, 2, 3
64.333612, 243, 23.538, 22693500, 36676, 16117.923, 2, 0
64.583907, 241, 12.211, 22663800, 127298, 16610.182, 2, 1
64.834158, 67, 5.897, 22653540, 58260, 16923.578, 2, 1
65.84407, 1030, 0.387, 22703220, 103576, 16923.578, 2, 1
65.334681, 1361, 1.254, 23568840, 60413, 17439.107, 2, 1
65.584955, 1447, 0.213, 24436620, 0, 17439.107, 2, 1
65.835231, 1448, 0.219, 25294140, 51782, 17439.107, 2, 1
66.85563, 1447, 0.202, 26044740, 110013, 17994.498, 2, 1
66.335832, 242, 12.943, 26064720, 114351, 18313.662, 2, 1
66.586116, 243, 23.107, 26052840, 51780, 18313.662, 2, 1
66.836374, 243, 23.217, 26026920, 110052, 18753.867, 2, 1
67.86595, 243, 23.318, 26000460, 114379, 19112.359, 2, 1
67.336807, 296, 17.830, 25991820, 56111, 19391.533, 2, 1
67.587067, 1439, 0.323, 26097660, 110044, 19668.965, 2, 1
67.837334, 1448, 0.218, 26845560, 110042, 19957.414, 2, 1
68.87593, 1448, 0.209, 27648000, 51785, 19957.414, 2, 1
68.337872, 1448, 0.215, 28409400, 110036, 20247.855, 2, 1
68.588140, 1439, 0.365, 29197260, 110043, 20540.777, 2, 1
68.838410, 242, 4.867, 29375460, 58253, 20846.506, 2, 1
69.88689, 243, 22.667, 29349000, 112199, 21161.758, 2, 1
69.338954, 243, 23.270, 29337120, 51780, 21161.758, 2, 1
69.589244, 243, 23.231, 29311740, 107876, 21445.486, 2, 1
69.839536, 862, 9.274, 29287440, 110039, 21744.703, 2, 1
70.89768, 241, 1.320, 29277180, 58264, 22044.824, 2, 1
70.340047, 73, 2.418, 29880900, 51782, 22044.824, 2, 1
70.590331, 156, 4.983, 30692520, 62568, 22603.992, 2, 1
70.840602, 587, 0.214, 31397760, 51783, 22603.992, 2, 1
